      Date         Time   Rge    Ht  Ambig
2005/01/02  0:54:14.925 193.9  92.2      1
2005/01/02  0:54:46.854  98.0  87.5      1
2005/01/02  0:55:33.149 263.9  87.2      1
2005/01/02  0:56:03.209 130.0  80.2      1
2005/01/02  0:56:03.332 197.9  90.1      1
2005/01/02  0:56:03.354 195.9  90.2      1
2005/01/02  0:58:18.828  96.0  89.6      1
2005/01/02  0:58:24.112 130.0  86.9      1
2005/01/02  0:58:24.119 132.0  89.1      1
2005/01/02  0:59:06.563 183.9  88.0      1
2005/01/02  0:59:24.354 167.9  89.2      1
2005/01/02  0:59:40.679 161.9  81.9      1
2005/01/02  0:59:49.858 195.9  80.6      1
2005/01/02  0:59:57.190 155.9  97.4      1
2005/01/02  0:59:57.190 157.9  98.6      1
2005/01/02  1:00:41.015 223.9  96.3      1
2005/01/02  1:00:41.015 221.9  95.9      1
2005/01/02  1:01:13.813 155.9  83.1      1
2005/01/02  1:02:38.175 116.0 101.4      1
2005/01/02  1:02:38.175 114.0  99.6      1
2005/01/02  1:02:38.194 118.0 103.2      1
2005/01/02  1:02:55.653 183.9  94.6      1
2005/01/02  1:02:55.649 181.9  94.3      1
2005/01/02  1:03:05.101 110.0  89.4      1
2005/01/02  1:03:59.231 102.0  95.1      1
2005/01/02  1:03:59.231 100.0  93.3      1
2005/01/02  1:04:01.295 153.9  96.1      1
2005/01/02  1:04:01.298 151.9  94.9      1
2005/01/02  1:05:40.705 134.0  85.3      1
2005/01/02  1:05:40.698 132.0  84.0      1
2005/01/02  1:05:54.280 120.0  81.6      1
2005/01/02  1:05:54.276 118.0  81.4      1
2005/01/02  1:06:05.396 171.9  93.9      1
2005/01/02  1:06:14.451 177.9  96.4      1
2005/01/02  1:06:14.451 175.9  95.0      1
2005/01/02  1:06:32.735 118.0  93.5      1
2005/01/02  1:08:29.254 197.9  96.6      1
2005/01/02  1:08:32.951 225.9 100.9      1
2005/01/02  1:08:32.963 227.9 101.5      1
2005/01/02  1:08:46.683 110.0  90.8      1
2005/01/02  1:08:46.672 108.0  89.1      1
2005/01/02  1:09:02.366 243.9  94.9      1
2005/01/02  1:11:11.821 173.9  92.6      1
2005/01/02  1:12:10.724 122.0  92.5      1
2005/01/02  1:13:31.265  94.0  82.1      1
2005/01/02  1:13:31.269  96.0  84.0      1
2005/01/02  1:14:36.754 167.9  83.0      1
2005/01/02  1:14:37.810 149.9  87.8      1
2005/01/02  1:18:14.802 181.9  85.8      1
2005/01/02  1:18:15.910 153.9  83.6      1
2005/01/02  1:18:15.940 151.9  83.1      1
2005/01/02  1:19:03.549 151.9  93.1      1
2005/01/02  1:19:03.552 149.9  91.8      1
2005/01/02  1:19:29.313 187.9  90.7      1
2005/01/02  1:19:29.340 189.9  90.7      1
2005/01/02  1:19:36.586 104.0  94.3      1
2005/01/02  1:19:36.586 106.0  96.1      1
2005/01/02  1:19:37.063 130.0 122.4      1
2005/01/02  1:19:37.060 197.9  99.6      1
2005/01/02  1:20:06.384 233.9  94.0      1
2005/01/02  1:21:31.153 271.9  86.3      1
2005/01/02  1:21:49.280 267.9  88.4      1
2005/01/02  1:22:12.459 267.9  89.3      1
2005/01/02  1:23:29.015  90.0  81.5      1
2005/01/02  1:23:29.015  92.0  83.3      1
2005/01/02  1:24:07.515  98.0  87.5      1
2005/01/02  1:24:07.515 100.0  89.2      1
2005/01/02  1:24:37.672 126.0  79.9      1
2005/01/02  1:24:49.298 239.9  97.0      1
2005/01/02  1:26:58.078 227.9  93.0      1
2005/01/02  1:27:34.131 183.9  95.8      1
2005/01/02  1:27:34.131 181.9  93.1      1
2005/01/02  1:30:12.403 120.0  84.0      1
2005/01/02  1:30:12.418 122.0  85.0      1
2005/01/02  1:30:37.511 114.0  77.7      1
2005/01/02  1:30:37.511 112.0  76.3      1
2005/01/02  1:30:48.321 112.0  84.4      1
2005/01/02  1:31:16.515 114.0  83.3      1
2005/01/02  1:31:31.910 122.0  88.4      1
2005/01/02  1:32:32.679 191.9  90.4      1
2005/01/02  1:33:30.157 169.9  96.3      1
2005/01/02  1:33:38.246 112.0  84.7      1
2005/01/02  1:34:59.280 223.9  93.6      1
2005/01/02  1:35:18.254 231.9  88.1      1
2005/01/02  1:35:18.257 229.9  90.0      1
2005/01/02  1:35:32.265 203.9  93.4      1
2005/01/02  1:35:34.313 195.9  95.3      1
2005/01/02  1:35:58.966 134.0  89.0      1
2005/01/02  1:35:58.966 132.0  87.8      1
2005/01/02  1:36:21.089 181.9  89.1      1
2005/01/02  1:38:04.291 110.0  85.2      1
2005/01/02  1:38:14.642 161.9  90.0      1
2005/01/02  1:39:32.578 153.9  95.3      1
2005/01/02  1:39:32.578 155.9  98.0      1
2005/01/02  1:40:31.888 114.0  99.5      1
2005/01/02  1:40:38.910 203.9  96.8      1
2005/01/02  1:40:38.910 201.9  95.8      1
2005/01/02  1:40:58.093 225.9 100.4      1
2005/01/02  1:41:12.179 114.0  98.8      1
2005/01/02  1:41:12.172 110.0  95.4      1
2005/01/02  1:42:06.791 241.9  91.2      1
2005/01/02  1:42:06.791 241.9  91.2      1
2005/01/02  1:42:48.257 241.9  85.9      1
2005/01/02  1:43:07.422 173.9  90.7      1
2005/01/02  1:43:51.612 199.9  85.6      1
2005/01/02  1:43:51.619 201.9  87.5      1
2005/01/02  1:43:57.254 183.9  88.4      1
2005/01/02  1:43:57.257 181.9  87.0      1
2005/01/02  1:43:59.541 151.9  92.2      1
2005/01/02  1:43:59.541 153.9  91.4      1
2005/01/02  1:45:29.302 110.0  85.2      1
2005/01/02  1:45:29.321 112.0  86.7      1
2005/01/02  1:45:33.455 169.9  81.3      1
2005/01/02  1:46:00.754 118.0  92.9      1
2005/01/02  1:46:00.757 116.0  91.5      1
2005/01/02  1:46:19.187 102.0  88.8      1
2005/01/02  1:48:59.310 161.9  90.3      1
2005/01/02  1:49:04.522 151.9  93.8      1
2005/01/02  1:49:07.440 110.0  96.6      1
2005/01/02  1:51:30.250 203.9 102.4      1
2005/01/02  1:51:35.843 197.9  95.2      1
2005/01/02  1:51:46.825 102.0  99.2      1
2005/01/02  1:51:46.825 104.0 101.1      1
2005/01/02  1:53:22.220 201.9  88.6      1
2005/01/02  1:56:18.832 171.9  86.1      1
2005/01/02  1:56:18.828 173.9  87.8      1
2005/01/02  1:56:52.481 155.9  85.1      1
2005/01/02  1:57:45.619 165.9  92.2      1
2005/01/02  1:57:47.519 161.9  97.2      1
2005/01/02  1:57:47.530 159.9  96.1      1
2005/01/02  1:57:47.522 163.9 100.2      1
2005/01/02  1:58:28.138 183.9  95.2      1
2005/01/02  1:58:58.638 106.0  87.5      1
2005/01/02  1:58:58.638 104.0  85.8      1
2005/01/02  1:58:58.642 108.0  89.2      1
2005/01/02  1:59:03.646 116.0  86.7      1
2005/01/02  1:59:44.388 116.0  83.5      1
2005/01/02  2:00:53.063 193.9  92.7      1
2005/01/02  2:00:53.030 191.9  92.0      1
2005/01/02  2:01:27.448 249.9  91.1      1
2005/01/02  2:01:27.448 247.9  89.5      1
2005/01/02  2:02:45.787 197.9  96.5      1
2005/01/02  2:04:35.183 110.0  85.1      1
2005/01/02  2:05:19.802 134.0  97.3      1
2005/01/02  2:05:24.601 134.0  80.4      1
2005/01/02  2:06:14.750 155.9  98.1      1
2005/01/02  2:06:14.750 153.9  96.4      1
2005/01/02  2:06:30.463 163.9  94.4      1
2005/01/02  2:08:05.541 100.0  94.0      1
2005/01/02  2:08:23.384 130.0  86.3      1
2005/01/02  2:08:23.388 128.0  85.4      1
2005/01/02  2:08:31.403 235.9  92.8      1
2005/01/02  2:08:32.776 106.0  96.4      1
2005/01/02  2:08:38.966 157.9  89.6      1
2005/01/02  2:08:38.966 155.9  89.4      1
2005/01/02  2:08:43.168 183.9  89.3      1
2005/01/02  2:08:43.168 185.9  90.4      1
2005/01/02  2:09:18.187 118.0  86.6      1
2005/01/02  2:09:46.612 130.0  90.7      1
2005/01/02  2:09:54.146 189.9  93.1      1
2005/01/02  2:10:41.955 197.9  96.9      1
2005/01/02  2:10:41.951 199.9  96.6      1
2005/01/02  2:11:44.955 231.9  98.4      1
2005/01/02  2:11:46.243 126.0  88.2      1
2005/01/02  2:11:49.519 171.9  90.9      1
2005/01/02  2:11:49.519 169.9  88.6      1
2005/01/02  2:12:13.298 157.9  91.9      1
2005/01/02  2:12:13.317 155.9  90.8      1
2005/01/02  2:12:28.914 189.9  92.4      1
2005/01/02  2:12:36.168 118.0  84.1      1
2005/01/02  2:12:38.787 181.9  84.2      1
2005/01/02  2:12:38.787 181.9  84.2      1
2005/01/02  2:12:43.261 108.0  93.2      1
2005/01/02  2:12:43.246 106.0  91.3      1
2005/01/02  2:13:58.201  98.0  85.8      1
2005/01/02  2:14:20.739 219.9  90.4      1
2005/01/02  2:14:20.743 221.9  92.5      1
2005/01/02  2:14:33.974 124.0  93.4      1
2005/01/02  2:14:33.974 122.0  92.3      1
2005/01/02  2:14:58.239 153.9  96.5      1
2005/01/02  2:14:58.239 155.9  98.2      1
2005/01/02  2:15:01.459 173.9  98.9      1
2005/01/02  2:15:03.623  90.0  77.7      1
2005/01/02  2:15:08.459 233.9  94.5      1
2005/01/02  2:15:22.418 247.9  90.1      1
2005/01/02  2:16:00.597 128.0  99.4      1
2005/01/02  2:16:00.589 126.0  97.8      1
2005/01/02  2:16:42.604 195.9  95.9      1
2005/01/02  2:17:55.847 187.9  98.7      1
2005/01/02  2:17:56.216 161.9  95.9      1
2005/01/02  2:18:27.116 161.9  88.2      1
2005/01/02  2:20:06.575 185.9  94.5      1
2005/01/02  2:20:45.996 247.9  94.2      1
2005/01/02  2:20:47.284 157.9  84.3      1
2005/01/02  2:20:58.698 183.9  88.2      1
2005/01/02  2:20:58.698 185.9  89.5      1
2005/01/02  2:21:12.224 219.9  92.1      1
2005/01/02  2:21:39.642 108.0  96.1      1
2005/01/02  2:23:23.526 163.9  86.5      1
2005/01/02  2:23:23.530 165.9  87.3      1
2005/01/02  2:24:03.377 161.9  83.2      1
2005/01/02  2:24:06.134 157.9  89.1      1
2005/01/02  2:24:06.134 159.9  88.7      1
2005/01/02  2:24:07.881  96.0  84.1      1
2005/01/02  2:24:12.993 134.0  96.3      1
2005/01/02  2:25:18.884 128.0 111.1      1
2005/01/02  2:25:18.884 126.0 110.4      1
2005/01/02  2:25:19.037 124.0 109.3      1
2005/01/02  2:25:19.746 108.0 103.6      1
2005/01/02  2:26:25.470 120.0  98.0      1
2005/01/02  2:26:33.545 167.9  90.3      1
2005/01/02  2:26:53.313 118.0  93.7      1
2005/01/02  2:27:07.325 122.0  85.3      1
2005/01/02  2:27:16.205 153.9  91.9      1
2005/01/02  2:27:16.205 151.9  91.3      1
2005/01/02  2:27:37.623 165.9  93.7      1
2005/01/02  2:27:53.325 110.0  88.0      1
2005/01/02  2:28:13.817 171.9  93.2      1
2005/01/02  2:30:06.082 159.9  89.1      1
2005/01/02  2:30:09.776 247.9  95.2      1
2005/01/02  2:30:09.731 249.9  96.0      1
2005/01/02  2:30:09.731 251.9  96.9      1
2005/01/02  2:30:10.690 159.9  88.3      1
2005/01/02  2:30:10.687 161.9  90.3      1
2005/01/02  2:30:42.634 163.9  96.0      1
2005/01/02  2:30:42.631 165.9 103.4      1
2005/01/02  2:30:52.489 185.9  92.5      1
2005/01/02  2:30:55.011 151.9  94.0      1
2005/01/02  2:31:48.015 114.0  97.2      1
2005/01/02  2:31:48.015 112.0  95.0      1
2005/01/02  2:32:14.082 249.9  90.3      1
2005/01/02  2:32:35.492 185.9  88.8      1
2005/01/02  2:32:58.541 112.0 103.1      1
2005/01/02  2:34:24.817 221.9  97.6      1
2005/01/02  2:34:24.817 223.9  97.7      1
2005/01/02  2:34:49.683 159.9  87.1      1
2005/01/02  2:34:49.683 161.9  87.6      1
2005/01/02  2:34:57.351 132.0  89.0      1
2005/01/02  2:35:01.194 118.0  88.8      1
2005/01/02  2:35:02.474 181.9  86.7      1
2005/01/02  2:35:04.728 165.9  89.2      1
2005/01/02  2:35:37.787 293.9  90.4      1
2005/01/02  2:37:09.858 120.0  96.7      1
2005/01/02  2:37:09.858 118.0  94.5      1
2005/01/02  2:37:14.690  92.0  81.2      1
2005/01/02  2:38:09.116 157.9  89.6      1
2005/01/02  2:38:36.183 185.9  88.5      1
2005/01/02  2:38:36.216 183.9  89.0      1
2005/01/02  2:38:40.709 134.0 105.7      1
2005/01/02  2:38:40.735 130.0 102.5      1
2005/01/02  2:40:01.981 155.9  91.6      1
2005/01/02  2:41:14.858 181.9  90.1      1
2005/01/02  2:41:19.672 151.9  95.1      1
2005/01/02  2:41:19.638 149.9  94.1      1
2005/01/02  2:41:27.362 153.9  88.8      1
2005/01/02  2:41:39.392  98.0  85.2      1
2005/01/02  2:41:41.127 151.9  93.6      1
2005/01/02  2:41:46.280 132.0  88.4      1
2005/01/02  2:41:46.280 130.0  87.4      1
2005/01/02  2:41:46.287 134.0  89.7      1
2005/01/02  2:42:22.269 251.9  96.4      1
2005/01/02  2:42:22.287 253.9  97.8      1
2005/01/02  2:42:52.552 126.0  90.1      1
2005/01/02  2:43:05.481 110.0  90.8      1
2005/01/02  2:43:05.474 106.0  87.3      1
2005/01/02  2:43:27.444 243.9  92.9      1
2005/01/02  2:43:59.265 163.9  91.0      1
2005/01/02  2:43:59.265 165.9  92.4      1
2005/01/02  2:43:59.298 201.9  91.0      1
2005/01/02  2:43:59.298 199.9  89.5      1
2005/01/02  2:44:13.362 132.0  90.9      1
2005/01/02  2:44:14.866 199.9  92.3      1
2005/01/02  2:44:14.866 197.9  91.3      1
2005/01/02  2:44:29.825 132.0  89.7      1
2005/01/02  2:44:29.825 130.0  88.1      1
2005/01/02  2:44:32.597 157.9  91.5      1
2005/01/02  2:44:32.597 159.9  94.5      1
2005/01/02  2:44:32.593 155.9  91.1      1
2005/01/02  2:44:46.004 128.0 107.6      1
2005/01/02  2:44:46.004 128.0 107.6      1
2005/01/02  2:44:46.175 120.0 102.0      1
2005/01/02  2:44:46.101 118.0 100.7      1
2005/01/02  2:45:00.048 169.9  85.4      1
2005/01/02  2:45:28.937 225.9  84.7      1
2005/01/02  2:45:28.940 227.9  86.0      1
2005/01/02  2:45:50.832 175.9  89.7      1
2005/01/02  2:47:06.683 239.9  97.1      1
2005/01/02  2:47:06.687 237.9  99.3      1
2005/01/02  2:47:57.403 175.9  84.3      1
2005/01/02  2:47:57.399 173.9  82.8      1
2005/01/02  2:48:03.354 221.9  97.4      1
2005/01/02  2:48:06.955 267.9  92.8      1
2005/01/02  2:48:26.198 120.0  99.6      1
2005/01/02  2:48:26.198 118.0  97.9      1
2005/01/02  2:48:26.500  96.0  82.3      1
2005/01/02  2:49:06.448 203.9  98.2      1
2005/01/02  2:49:06.448 201.9  97.5      1
2005/01/02  2:50:06.884 120.0  97.0      1
2005/01/02  2:50:06.884 118.0  95.3      1
2005/01/02  2:50:58.179 116.0  93.5      1
2005/01/02  2:51:48.276 151.9  89.3      1
2005/01/02  2:51:48.261 155.9  91.4      1
2005/01/02  2:51:48.272 153.9  90.2      1
2005/01/02  2:52:05.899 273.9  88.7      1
2005/01/02  2:52:18.403 163.9  95.4      1
2005/01/02  2:52:31.175 100.0  94.9      1
2005/01/02  2:52:31.146  96.0  91.1      1
2005/01/02  2:52:53.743 173.9  93.1      1
2005/01/02  2:53:35.347 134.0  90.8      1
2005/01/02  2:53:40.048 173.9 103.1      1
2005/01/02  2:53:40.011 171.9 101.8      1
2005/01/02  2:53:59.310 159.9  91.1      1
2005/01/02  2:53:59.325 161.9  91.8      1
2005/01/02  2:54:08.265 149.9  91.4      1
2005/01/02  2:54:08.321 201.9  92.4      1
2005/01/02  2:54:08.325 199.9  91.3      1
2005/01/02  2:54:13.205 116.0  87.4      1
2005/01/02  2:54:13.201 118.0  88.9      1
2005/01/02  2:54:49.899 185.9  96.8      1
2005/01/02  2:54:56.168 191.9  88.0      1
2005/01/02  2:55:11.153 108.0  87.2      1
2005/01/02  2:55:18.063 231.9 100.7      1
2005/01/02  2:55:24.877 219.9  97.0      1
2005/01/02  2:56:22.485 132.0  96.4      1
2005/01/02  2:56:22.485 130.0  94.6      1
2005/01/02  2:56:35.093 104.0  95.4      1
2005/01/02  2:57:07.183 165.9  90.8      1
2005/01/02  2:57:30.761 134.0  91.2      1
2005/01/02  2:57:43.060 187.9  88.5      1
2005/01/02  2:57:43.063 189.9  89.1      1
2005/01/02  2:57:46.974 112.0  92.8      1
2005/01/02  2:57:53.660 193.9  92.9      1
2005/01/02  2:59:12.918 124.0  95.7      1
2005/01/02  2:59:15.698 197.9 101.7      1
2005/01/02  2:59:15.705 195.9 100.5      1
2005/01/02  2:59:59.955 301.9  87.9      1
2005/01/02  3:00:00.097 108.0  85.3      1
2005/01/02  3:00:00.097 106.0  83.4      1
2005/01/02  3:00:56.474 120.0  85.3      1
2005/01/02  3:01:12.922 132.0  91.7      1
2005/01/02  3:01:12.925 130.0  90.5      1
2005/01/02  3:01:53.146 193.9  91.5      1
2005/01/02  3:02:12.642 132.0  89.8      1
2005/01/02  3:03:17.713 187.9  85.1      1
2005/01/02  3:03:29.052 165.9  97.1      1
2005/01/02  3:03:29.048 163.9  96.4      1
2005/01/02  3:04:12.869 122.0  85.6      1
2005/01/02  3:04:12.731 124.0  86.9      1
2005/01/02  3:04:16.970 253.9  93.3      1
2005/01/02  3:04:32.649 181.9  88.7      1
2005/01/02  3:04:46.425 116.0  93.1      1
2005/01/02  3:04:46.425 114.0  91.4      1
2005/01/02  3:04:59.627 118.0  97.4      1
2005/01/02  3:04:59.586 114.0  94.3      1
2005/01/02  3:05:19.358 169.9  98.3      1
2005/01/02  3:05:31.451 110.0  92.4      1
2005/01/02  3:06:00.358 120.0  89.8      1
2005/01/02  3:06:00.354 118.0  88.3      1
2005/01/02  3:06:00.332 122.0  91.7      1
2005/01/02  3:06:14.769 199.9  97.9      1
2005/01/02  3:06:14.761 201.9  98.7      1
2005/01/02  3:06:28.451 167.9  90.4      1
2005/01/02  3:06:28.451 165.9  89.8      1
2005/01/02  3:06:58.373 157.9  92.1      1
2005/01/02  3:07:30.567 151.9  89.5      1
2005/01/02  3:08:01.317 201.9 101.3      1
2005/01/02  3:10:21.291 104.0  96.6      1
2005/01/02  3:10:27.041 203.9  99.9      1
2005/01/02  3:11:06.224 118.0  94.1      1
2005/01/02  3:11:07.948 159.9 101.9      1
2005/01/02  3:11:07.948 157.9 101.8      1
2005/01/02  3:11:16.832 201.9  92.8      1
2005/01/02  3:11:53.034 243.9  93.7      1
2005/01/02  3:12:35.131 261.9  93.8      1
2005/01/02  3:12:35.119 259.9  92.9      1
2005/01/02  3:12:40.560 100.0  91.7      1
2005/01/02  3:12:40.560  98.0  89.9      1
2005/01/02  3:12:57.339 118.0 106.3      1
2005/01/02  3:12:57.339 120.0 108.0      1
2005/01/02  3:13:50.854 179.9  98.8      1
2005/01/02  3:13:50.854 177.9  98.0      1
2005/01/02  3:13:55.910 169.9  94.0      1
2005/01/02  3:13:55.910 167.9  93.8      1
2005/01/02  3:14:45.511 151.9  88.2      1
2005/01/02  3:15:20.989 128.0  84.5      1
2005/01/02  3:15:47.575 299.9  88.9      1
2005/01/02  3:15:51.537 114.0  97.3      1
2005/01/02  3:15:51.541 112.0  95.6      1
2005/01/02  3:15:51.537 116.0  98.8      1
2005/01/02  3:16:05.705 151.9  87.9      1
2005/01/02  3:16:06.056 183.9  87.3      1
2005/01/02  3:16:07.884 132.0  94.0      1
2005/01/02  3:16:07.884 130.0  92.4      1
2005/01/02  3:16:21.216 104.0  90.0      1
2005/01/02  3:16:42.951 199.9  89.0      1
2005/01/02  3:17:25.910 255.9  93.6      1
2005/01/02  3:18:01.802 203.9  99.2      1
2005/01/02  3:18:10.381 165.9  91.9      1
2005/01/02  3:18:37.261 171.9 101.4      1
2005/01/02  3:18:37.235 169.9  98.4      1
2005/01/02  3:19:52.187 227.9  95.0      1
2005/01/02  3:20:25.802 153.9  77.9      1
2005/01/02  3:20:25.799 155.9  77.6      1
2005/01/02  3:20:31.552 297.9  92.0      1
2005/01/02  3:20:34.455 132.0  86.4      1
2005/01/02  3:20:34.455 130.0  85.2      1
2005/01/02  3:20:34.451 134.0  89.2      1
2005/01/02  3:21:35.157 104.0  96.8      1
2005/01/02  3:21:35.157 102.0  94.9      1
2005/01/02  3:21:53.246 183.9 102.4      1
2005/01/02  3:21:53.246 185.9 103.4      1
2005/01/02  3:22:26.231 159.9  89.2      1
2005/01/02  3:22:26.235 157.9  86.9      1
2005/01/02  3:22:28.791 120.0  84.0      1
2005/01/02  3:22:30.854  94.0  91.3      1
2005/01/02  3:24:13.287 259.9  87.5      1
2005/01/02  3:24:29.493 159.9  97.1      1
2005/01/02  3:24:29.493 157.9  95.7      1
2005/01/02  3:24:44.190 197.9 100.2      1
2005/01/02  3:25:54.149 132.0 111.3      1
2005/01/02  3:26:41.597 116.0  93.5      1
2005/01/02  3:26:47.582 191.9  91.6      1
2005/01/02  3:26:47.940 185.9  83.1      1
2005/01/02  3:27:27.257 106.0  86.1      1
2005/01/02  3:27:29.806 108.0  94.1      1
2005/01/02  3:27:29.806 110.0  95.8      1
2005/01/02  3:27:37.888 189.9  90.5      1
2005/01/02  3:27:37.884 187.9  90.0      1
2005/01/02  3:27:59.280 120.0  98.0      1
2005/01/02  3:28:04.440 155.9  94.8      1
2005/01/02  3:28:17.586 195.9  88.8      1
2005/01/02  3:28:17.582 197.9  89.7      1
2005/01/02  3:28:20.604 191.9 100.1      1
2005/01/02  3:28:56.795 116.0  97.2      1
2005/01/02  3:29:22.929 134.0  84.3      1
2005/01/02  3:29:29.149 116.0 102.9      1
2005/01/02  3:30:16.201 106.0  96.3      1
2005/01/02  3:30:27.228 233.9  96.3      1
2005/01/02  3:30:27.246 231.9  95.5      1
2005/01/02  3:30:27.851 134.0 100.5      1
2005/01/02  3:30:27.851 132.0  98.6      1
2005/01/02  3:30:27.851 130.0  97.5      1
2005/01/02  3:30:34.295 116.0 100.7      1
2005/01/02  3:30:34.295 114.0  98.7      1
2005/01/02  3:30:37.340 149.9  93.8      1
2005/01/02  3:30:45.187 241.9  91.4      1
2005/01/02  3:30:46.750 193.9  85.8      1
2005/01/02  3:31:20.575 231.9  98.9      1
2005/01/02  3:31:39.168 255.9  93.7      1
2005/01/02  3:31:39.172 253.9  92.5      1
2005/01/02  3:31:43.153 134.0  89.6      1
2005/01/02  3:31:43.149 132.0  88.2      1
2005/01/02  3:31:44.060 239.9  89.2      1
2005/01/02  3:32:43.888 191.9 104.3      1
2005/01/02  3:32:45.720 183.9 100.1      1
2005/01/02  3:32:58.989  96.0  87.2      1
2005/01/02  3:32:58.992  94.0  85.4      1
2005/01/02  3:33:25.992 185.9 107.1      1
