            Date          Time    Rge     Ht  Ambig
117   2005/01/02   0:51:49.821  199.9   75.3      4
118   2005/01/02   0:51:49.821  269.9  102.9      4
119   2005/01/02   0:51:49.821  130.0   76.2      4
120   2005/01/02   0:51:55.280  104.0   86.4      1
121   2005/01/02   0:51:55.280  102.0   84.7      1
122   2005/01/02   0:52:06.981  225.9   97.0      1
123   2005/01/02   0:52:12.709  134.0   90.3      1
124   2005/01/02   0:53:28.537  191.9   87.6      1
125   2005/01/02   0:53:50.951  201.9   92.7      1
126   2005/01/02   0:54:14.925  193.9   92.2      1
127   2005/01/02   0:54:46.854   98.0   87.5      1
128   2005/01/02   0:55:33.149  263.9   87.2      1
129   2005/01/02   0:56:03.209  130.0   80.2      1
130   2005/01/02   0:56:03.332  197.9   90.1      1
131   2005/01/02   0:56:03.354  195.9   90.2      1
132   2005/01/02   0:57:36.847  114.0   84.5      3
133   2005/01/02   0:57:36.847  183.9   72.4      3
134   2005/01/02   0:57:36.847  253.9  101.1      3
135   2005/01/02   0:58:18.828   96.0   89.6      1
136   2005/01/02   0:58:24.112  130.0   86.9      1
137   2005/01/02   0:58:24.119  132.0   89.1      1
138   2005/01/02   0:59:06.563  183.9   88.0      1
139   2005/01/02   0:59:22.653  126.0   96.3      3
140   2005/01/02   0:59:22.653  195.9   73.9      3
141   2005/01/02   0:59:22.653  265.9  101.5      3
142   2005/01/02   0:59:24.354  167.9   89.2      1
143   2005/01/02   0:59:40.679  161.9   81.9      1
144   2005/01/02   0:59:49.858  195.9   80.6      1
145   2005/01/02   0:59:57.190  155.9   97.4      1
146   2005/01/02   0:59:57.190  157.9   98.6      1
147   2005/01/02   1:00:41.015  223.9   96.3      1
148   2005/01/02   1:00:41.015  221.9   95.9      1
149   2005/01/02   1:01:13.813  155.9   83.1      1
150   2005/01/02   1:02:38.175  116.0  101.4      1
151   2005/01/02   1:02:38.175  114.0   99.6      1
152   2005/01/02   1:02:38.194  118.0  103.2      1
153   2005/01/02   1:02:55.653  183.9   94.6      1
154   2005/01/02   1:02:55.649  181.9   94.3      1
155   2005/01/02   1:03:05.101  110.0   89.4      1
156   2005/01/02   1:03:59.231  102.0   95.1      1
157   2005/01/02   1:03:59.231  100.0   93.3      1
158   2005/01/02   1:04:01.295  153.9   96.1      1
159   2005/01/02   1:04:01.298  151.9   94.9      1
160   2005/01/02   1:04:24.601  193.9   92.7      4
161   2005/01/02   1:04:24.601  124.0   80.9      4
162   2005/01/02   1:04:24.601  193.9   75.3      4
163   2005/01/02   1:04:24.601  263.9  103.7      4
164   2005/01/02   1:05:40.705  134.0   85.3      1
165   2005/01/02   1:05:40.698  132.0   84.0      1
166   2005/01/02   1:05:54.280  120.0   81.6      1
167   2005/01/02   1:05:54.276  118.0   81.4      1
168   2005/01/02   1:06:05.396  171.9   93.9      1
169   2005/01/02   1:06:14.451  177.9   96.4      1
170   2005/01/02   1:06:14.451  175.9   95.0      1
171   2005/01/02   1:06:32.735  118.0   93.5      1
172   2005/01/02   1:08:29.254  197.9   96.6      1
173   2005/01/02   1:08:32.951  225.9  100.9      1
174   2005/01/02   1:08:32.963  227.9  101.5      1
175   2005/01/02   1:08:46.683  110.0   90.8      1
176   2005/01/02   1:08:46.672  108.0   89.1      1
177   2005/01/02   1:09:02.366  243.9   94.9      1
178   2005/01/02   1:10:08.168  179.9   88.8      5
179   2005/01/02   1:10:08.168  110.0   81.3      5
180   2005/01/02   1:10:08.168  389.8   74.1      5
181   2005/01/02   1:10:08.168  459.8   89.8      5
182   2005/01/02   1:10:08.168  529.7  106.2      5
183   2005/01/02   1:11:11.821  173.9   92.6      1
184   2005/01/02   1:12:10.724  122.0   92.5      1
185   2005/01/02   1:13:31.265   94.0   82.1      1
186   2005/01/02   1:13:31.269   96.0   84.0      1
187   2005/01/02   1:14:35.575  195.9   98.3      2
188   2005/01/02   1:14:35.575  126.0   90.8      2
189   2005/01/02   1:14:36.754  167.9   83.0      1
190   2005/01/02   1:14:37.810  149.9   87.8      1
191   2005/01/02   1:17:41.306  241.9   71.4      2
192   2005/01/02   1:17:41.306  311.9   93.6      2
193   2005/01/02   1:18:14.802  181.9   85.8      1
194   2005/01/02   1:18:15.910  153.9   83.6      1
195   2005/01/02   1:18:15.940  151.9   83.1      1
196   2005/01/02   1:18:47.791  161.9   89.2      3
197   2005/01/02   1:18:47.791  371.8   85.6      3
198   2005/01/02   1:18:47.791  441.8  104.0      3
199   2005/01/02   1:19:03.549  151.9   93.1      1
200   2005/01/02   1:19:03.552  149.9   91.8      1
201   2005/01/02   1:19:29.313  187.9   90.7      1
202   2005/01/02   1:19:29.340  189.9   90.7      1
203   2005/01/02   1:19:36.586  104.0   94.3      1
204   2005/01/02   1:19:36.586  106.0   96.1      1
205   2005/01/02   1:19:37.063  130.0  122.4      1
206   2005/01/02   1:19:37.060  197.9   99.6      1
207   2005/01/02   1:20:06.384  233.9   94.0      1
208   2005/01/02   1:21:31.153  271.9   86.3      1
209   2005/01/02   1:21:49.280  267.9   88.4      1
210   2005/01/02   1:22:12.459  267.9   89.3      1
211   2005/01/02   1:23:29.015   90.0   81.5      1
212   2005/01/02   1:23:29.015   92.0   83.3      1
213   2005/01/02   1:24:07.515   98.0   87.5      1
214   2005/01/02   1:24:07.515  100.0   89.2      1
215   2005/01/02   1:24:37.672  126.0   79.9      1
216   2005/01/02   1:24:49.298  239.9   97.0      1
217   2005/01/02   1:26:26.209  187.9   75.8      2
218   2005/01/02   1:26:26.209  257.9  105.1      2
219   2005/01/02   1:26:58.078  227.9   93.0      1
220   2005/01/02   1:27:34.131  183.9   95.8      1
221   2005/01/02   1:27:34.131  181.9   93.1      1
222   2005/01/02   1:30:12.403  120.0   84.0      1
223   2005/01/02   1:30:12.418  122.0   85.0      1
224   2005/01/02   1:30:37.511  114.0   77.7      1
225   2005/01/02   1:30:37.511  112.0   76.3      1
226   2005/01/02   1:30:48.321  112.0   84.4      1
227   2005/01/02   1:31:16.515  114.0   83.3      1
228   2005/01/02   1:31:31.910  122.0   88.4      1
229   2005/01/02   1:32:32.679  193.9   91.7      3
230   2005/01/02   1:32:32.679  124.0  106.8      3
231   2005/01/02   1:32:32.679  193.9   88.0      3
232   2005/01/02   1:32:32.679  191.9   90.4      1
233   2005/01/02   1:33:30.157  169.9   96.3      1
234   2005/01/02   1:33:38.246  112.0   84.7      1
235   2005/01/02   1:33:52.007  120.0   91.6      3
236   2005/01/02   1:33:52.007  189.9   72.8      3
237   2005/01/02   1:33:52.007  259.9  100.8      3
238   2005/01/02   1:34:59.280  223.9   93.6      1
239   2005/01/02   1:35:18.254  231.9   88.1      1
240   2005/01/02   1:35:18.257  229.9   90.0      1
241   2005/01/02   1:35:32.265  203.9   93.4      1
242   2005/01/02   1:35:34.313  195.9   95.3      1
243   2005/01/02   1:35:58.966  134.0   89.0      1
244   2005/01/02   1:35:58.966  132.0   87.8      1
245   2005/01/02   1:36:21.089  181.9   89.1      1
246   2005/01/02   1:38:04.291  110.0   85.2      1
247   2005/01/02   1:38:14.642  161.9   90.0      1
248   2005/01/02   1:39:32.578  153.9   95.3      1
249   2005/01/02   1:39:32.578  155.9   98.0      1
250   2005/01/02   1:40:31.888  114.0   99.5      1
251   2005/01/02   1:40:38.910  203.9   96.8      1
252   2005/01/02   1:40:38.910  201.9   95.8      1
253   2005/01/02   1:40:58.093  225.9  100.4      1
254   2005/01/02   1:41:12.179  114.0   98.8      1
255   2005/01/02   1:41:12.172  110.0   95.4      1
256   2005/01/02   1:42:06.791  241.9   91.2      1
257   2005/01/02   1:42:06.791  241.9   91.2      1
258   2005/01/02   1:42:46.082  165.9   82.7      2
259   2005/01/02   1:42:46.082   96.0   82.5      2
260   2005/01/02   1:42:48.257  241.9   85.9      1
261   2005/01/02   1:43:07.422  173.9   90.7      1
262   2005/01/02   1:43:51.612  199.9   85.6      1
263   2005/01/02   1:43:51.619  201.9   87.5      1
264   2005/01/02   1:43:57.254  183.9   88.4      1
265   2005/01/02   1:43:57.257  181.9   87.0      1
266   2005/01/02   1:43:59.541  151.9   92.2      1
267   2005/01/02   1:43:59.541  153.9   91.4      1
268   2005/01/02   1:45:29.302  110.0   85.2      1
269   2005/01/02   1:45:29.321  112.0   86.7      1
270   2005/01/02   1:45:33.455  169.9   81.3      1
271   2005/01/02   1:46:00.754  118.0   92.9      1
272   2005/01/02   1:46:00.757  116.0   91.5      1
273   2005/01/02   1:46:19.187  102.0   88.8      1
274   2005/01/02   1:48:45.481  227.9   75.5      2
275   2005/01/02   1:48:45.481  297.9  100.1      2
276   2005/01/02   1:48:45.481  225.9   78.4      2
277   2005/01/02   1:48:45.481  295.9  104.1      2
278   2005/01/02   1:48:59.310  161.9   90.3      1
279   2005/01/02   1:49:04.522  151.9   93.8      1
280   2005/01/02   1:49:07.440  110.0   96.6      1
281   2005/01/02   1:49:32.045  255.9   76.8      2
282   2005/01/02   1:49:32.045  325.9   99.4      2
283   2005/01/02   1:51:30.250  203.9  102.4      1
284   2005/01/02   1:51:35.843  197.9   95.2      1
285   2005/01/02   1:51:46.825  102.0   99.2      1
286   2005/01/02   1:51:46.825  104.0  101.1      1
287   2005/01/02   1:53:22.220  201.9   88.6      1
288   2005/01/02   1:54:43.828  245.9   82.2      2
289   2005/01/02   1:54:43.828  315.9  107.1      2
290   2005/01/02   1:56:18.832  171.9   86.1      1
291   2005/01/02   1:56:18.828  173.9   87.8      1
292   2005/01/02   1:56:52.481  155.9   85.1      1
293   2005/01/02   1:57:45.619  165.9   92.2      1
294   2005/01/02   1:57:47.519  161.9   97.2      1
295   2005/01/02   1:57:47.530  159.9   96.1      1
296   2005/01/02   1:57:47.522  163.9  100.2      1
297   2005/01/02   1:58:28.138  183.9   95.2      1
298   2005/01/02   1:58:39.966  118.0   99.9      4
299   2005/01/02   1:58:39.966  187.9   73.7      4
300   2005/01/02   1:58:39.966  257.9  102.3      4
301   2005/01/02   1:58:39.966  187.9  108.9      4
302   2005/01/02   1:58:39.966  189.9   74.3      2
303   2005/01/02   1:58:39.966  259.9  102.9      2
304   2005/01/02   1:58:58.638  106.0   87.5      1
305   2005/01/02   1:58:58.638  104.0   85.8      1
306   2005/01/02   1:58:58.642  108.0   89.2      1
307   2005/01/02   1:59:03.646  116.0   86.7      1
308   2005/01/02   1:59:44.388  116.0   83.5      1
309   2005/01/02   1:59:44.489  108.0   98.9      3
310   2005/01/02   1:59:44.489  247.9   73.8      3
311   2005/01/02   1:59:44.489  317.9   96.2      3
312   2005/01/02   2:00:53.063  193.9   92.7      1
313   2005/01/02   2:00:53.030  191.9   92.0      1
314   2005/01/02   2:01:27.448  249.9   91.1      1
315   2005/01/02   2:01:27.448  247.9   89.5      1
316   2005/01/02   2:02:41.922  120.0   98.9      3
317   2005/01/02   2:02:41.922  399.8   82.7      3
318   2005/01/02   2:02:41.922  469.8   99.6      3
319   2005/01/02   2:02:45.787  197.9   96.5      1
320   2005/01/02   2:04:16.075  171.9   85.6      3
321   2005/01/02   2:04:16.075  102.0   88.9      3
322   2005/01/02   2:04:16.075  171.9   83.3      3
323   2005/01/02   2:04:35.183  110.0   85.1      1
324   2005/01/02   2:05:19.802  134.0   97.3      1
325   2005/01/02   2:05:24.601  134.0   80.4      1
326   2005/01/02   2:06:14.750  155.9   98.1      1
327   2005/01/02   2:06:14.750  153.9   96.4      1
328   2005/01/02   2:06:30.463  163.9   94.4      1
329   2005/01/02   2:08:05.541  100.0   94.0      1
330   2005/01/02   2:08:23.384  130.0   86.3      1
331   2005/01/02   2:08:23.388  128.0   85.4      1
332   2005/01/02   2:08:31.403  235.9   92.8      1
333   2005/01/02   2:08:32.776  106.0   96.4      1
334   2005/01/02   2:08:38.966  157.9   89.6      1
335   2005/01/02   2:08:38.966  155.9   89.4      1
336   2005/01/02   2:08:43.168  183.9   89.3      1
337   2005/01/02   2:08:43.168  185.9   90.4      1
338   2005/01/02   2:09:18.187  118.0   86.6      1
339   2005/01/02   2:09:46.612  130.0   90.7      1
340   2005/01/02   2:09:54.146  189.9   93.1      1
341   2005/01/02   2:10:41.955  197.9   96.9      1
342   2005/01/02   2:10:41.951  199.9   96.6      1
343   2005/01/02   2:11:44.955  231.9   98.4      1
344   2005/01/02   2:11:46.243  126.0   88.2      1
345   2005/01/02   2:11:49.519  171.9   90.9      1
346   2005/01/02   2:11:49.519  169.9   88.6      1
347   2005/01/02   2:12:13.298  157.9   91.9      1
348   2005/01/02   2:12:13.317  155.9   90.8      1
349   2005/01/02   2:12:28.914  189.9   92.4      1
350   2005/01/02   2:12:36.168  118.0   84.1      1
351   2005/01/02   2:12:38.787  181.9   84.2      1
352   2005/01/02   2:12:38.787  181.9   84.2      1
353   2005/01/02   2:12:43.261  108.0   93.2      1
354   2005/01/02   2:12:43.246  106.0   91.3      1
355   2005/01/02   2:13:58.201   98.0   85.8      1
356   2005/01/02   2:14:20.739  219.9   90.4      1
357   2005/01/02   2:14:20.743  221.9   92.5      1
358   2005/01/02   2:14:33.974  124.0   93.4      1
359   2005/01/02   2:14:33.974  122.0   92.3      1
360   2005/01/02   2:14:58.239  153.9   96.5      1
361   2005/01/02   2:14:58.239  155.9   98.2      1
362   2005/01/02   2:15:01.459  173.9   98.9      1
363   2005/01/02   2:15:03.623   90.0   77.7      1
364   2005/01/02   2:15:08.459  233.9   94.5      1
365   2005/01/02   2:15:22.418  247.9   90.1      1
366   2005/01/02   2:16:00.597  128.0   99.4      1
367   2005/01/02   2:16:00.589  126.0   97.8      1
368   2005/01/02   2:16:42.604  195.9   95.9      1
369   2005/01/02   2:17:55.847  187.9   98.7      1
370   2005/01/02   2:17:56.216  161.9   95.9      1
371   2005/01/02   2:18:27.116  161.9   88.2      1
372   2005/01/02   2:20:06.575  185.9   94.5      1
373   2005/01/02   2:20:45.996  247.9   94.2      1
374   2005/01/02   2:20:47.284  157.9   84.3      1
375   2005/01/02   2:20:58.698  183.9   88.2      1
376   2005/01/02   2:20:58.698  185.9   89.5      1
377   2005/01/02   2:21:12.224  219.9   92.1      1
378   2005/01/02   2:21:39.642  108.0   96.1      1
379   2005/01/02   2:21:43.310  241.9   78.2      3
380   2005/01/02   2:21:43.310  311.9  102.3      3
381   2005/01/02   2:21:43.310  102.0   82.7      3
382   2005/01/02   2:23:23.526  163.9   86.5      1
383   2005/01/02   2:23:23.530  165.9   87.3      1
384   2005/01/02   2:24:03.377  161.9   83.2      1
385   2005/01/02   2:24:06.134  157.9   89.1      1
386   2005/01/02   2:24:06.134  159.9   88.7      1
387   2005/01/02   2:24:07.881   96.0   84.1      1
388   2005/01/02   2:24:12.993  134.0   96.3      1
389   2005/01/02   2:24:57.112  108.0   98.6      4
390   2005/01/02   2:24:57.112  108.0   89.4      4
391   2005/01/02   2:24:57.112  177.9   70.2      4
392   2005/01/02   2:24:57.112  247.9   98.9      4
393   2005/01/02   2:25:18.884  128.0  111.1      1
394   2005/01/02   2:25:18.884  126.0  110.4      1
395   2005/01/02   2:25:19.037  124.0  109.3      1
396   2005/01/02   2:25:19.746  108.0  103.6      1
397   2005/01/02   2:26:25.470  120.0   98.0      1
398   2005/01/02   2:26:33.545  167.9   90.3      1
399   2005/01/02   2:26:53.313  118.0   93.7      1
400   2005/01/02   2:27:07.325  122.0   85.3      1
401   2005/01/02   2:27:16.205  153.9   91.9      1
402   2005/01/02   2:27:16.205  151.9   91.3      1
403   2005/01/02   2:27:37.623  165.9   93.7      1
404   2005/01/02   2:27:53.325  110.0   88.0      1
405   2005/01/02   2:28:13.817  171.9   93.2      1
406   2005/01/02   2:29:25.019  102.0   91.0      3
407   2005/01/02   2:29:25.019  171.9   72.3      3
408   2005/01/02   2:29:25.019  241.9  102.8      3
409   2005/01/02   2:29:25.019  100.0   89.2      3
410   2005/01/02   2:29:25.019  169.9   72.0      3
411   2005/01/02   2:29:25.019  239.9  102.7      3
412   2005/01/02   2:30:06.082  159.9   89.1      1
413   2005/01/02   2:30:09.776  247.9   95.2      1
414   2005/01/02   2:30:09.731  249.9   96.0      1
415   2005/01/02   2:30:09.731  251.9   96.9      1
416   2005/01/02   2:30:10.690  159.9   88.3      1
